"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"83",9418400240,"20141028T000000",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720
"124",3524049083,"20141104T000000",445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400
"215",1102000196,"20140527T000000",477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.268,2130,8700
"254",1105000588,"20150421T000000",349500,3,1,1400,3538,1,0,0,3,7,800,600,1953,0,98118,47.5405,-122.27,1620,6331
"280",9412900055,"20150505T000000",405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,98118,47.5362,-122.268,2020,6000
"356",6607000126,"20140604T000000",375000,4,1.75,2200,7475,1,0,0,5,7,1100,1100,1955,0,98118,47.543,-122.28,1600,5766
"399",1604601375,"20140619T000000",378750,3,2.5,2160,3000,1.5,0,0,3,7,1260,900,1909,2011,98118,47.5644,-122.289,1060,3500
"477",1604602050,"20140711T000000",460000,3,2.5,1610,2527,2,0,2,3,9,1080,530,2005,0,98118,47.5674,-122.29,1610,4173
"488",1895000260,"20140721T000000",207950,2,2,890,5000,1,0,0,3,6,890,0,1917,0,98118,47.5158,-122.264,1860,5000
"653",3226200105,"20140523T000000",325000,3,1,1920,6862,1,0,2,3,7,1120,800,1952,0,98118,47.5193,-122.274,2000,6900
"702",1895000045,"20150504T000000",195000,2,1,820,5100,1,0,0,3,6,820,0,1953,0,98118,47.5156,-122.262,1170,5304
"760",770000045,"20141024T000000",405600,5,1.5,2830,4000,2.5,0,0,4,8,2830,0,1918,0,98118,47.5132,-122.262,1480,4000
"826",4006000251,"20140822T000000",226000,3,1,970,5000,1,0,0,3,6,970,0,1968,0,98118,47.5282,-122.279,1290,5875
"869",3330500875,"20141226T000000",381156,2,1,1320,3090,1,0,0,4,7,1320,0,1908,0,98118,47.5517,-122.276,1270,4120
"928",1109000390,"20150310T000000",420000,3,1.5,2390,4600,2,0,0,3,8,1750,640,1920,1995,98118,47.5383,-122.268,1690,5220
"931",3395070640,"20140902T000000",3e+05,3,2.5,1320,2614,2,0,0,3,7,1320,0,2005,0,98118,47.5355,-122.283,1320,2533
"942",3332000135,"20140612T000000",315000,2,1,970,5665,1,0,0,4,6,970,0,1908,0,98118,47.5513,-122.273,1490,4429
"951",3812400070,"20150506T000000",435000,5,1,1410,6750,1.5,0,0,3,6,1410,0,1929,0,98118,47.5453,-122.278,1360,6750
"960",8113101670,"20141203T000000",378000,4,1.5,2140,7920,1,0,0,3,7,1190,950,1959,0,98118,47.5491,-122.272,2140,7238
"1160",6064800710,"20141002T000000",315000,3,2.5,1570,2865,2,0,0,3,7,1570,0,2003,0,98118,47.5412,-122.288,1610,2582
"1178",3334000055,"20150429T000000",585000,2,1.75,1280,7110,1,0,0,4,7,1000,280,1955,0,98118,47.5569,-122.273,1550,6835
"1191",2624049185,"20140909T000000",405000,3,1.75,1760,5355,1,0,0,3,7,1160,600,1956,0,98118,47.5368,-122.267,1790,6225
"1203",1231000510,"20140922T000000",263000,3,1.75,1490,3800,1,0,0,3,6,700,790,1913,0,98118,47.5554,-122.27,2180,4000
"1204",1231000510,"20150504T000000",510000,3,1.75,1490,3800,1,0,0,3,6,700,790,1913,0,98118,47.5554,-122.27,2180,4000
"1225",3331000070,"20140606T000000",735000,4,2.5,2820,6180,2,0,0,3,9,2050,770,2013,0,98118,47.5529,-122.281,1390,4635
"1229",5249800729,"20150330T000000",680000,6,3.5,3000,6320,2,0,2,3,8,2400,600,1969,0,98118,47.562,-122.279,1720,6360
"1264",4109600055,"20141229T000000",614000,5,2.5,3150,5150,2,0,0,5,8,1870,1280,1907,2004,98118,47.5506,-122.269,1550,5150
"1350",3731800055,"20140605T000000",450000,4,1,2000,4676,1.5,0,0,3,7,1250,750,1916,1986,98118,47.5529,-122.268,1140,4676
"1480",5266300140,"20150408T000000",701000,4,1.5,1840,10080,2,0,0,3,8,1840,0,1907,0,98118,47.5575,-122.279,1830,5040
"1514",402000260,"20150211T000000",190000,2,1,700,9500,1,0,0,3,6,700,0,1951,0,98118,47.5294,-122.276,1020,5617
"1564",1231000520,"20141118T000000",607010,4,2.5,2180,4000,2,0,0,3,8,1700,480,2002,0,98118,47.5553,-122.269,2180,4000
"1597",3333002440,"20140604T000000",327500,3,1,1070,7140,1,0,0,3,7,1070,0,1989,0,98118,47.5427,-122.288,1390,2374
"1615",2624049117,"20140903T000000",425000,3,1,1550,4160,1.5,0,0,4,6,1550,0,1926,0,98118,47.5387,-122.265,1590,5000
"1635",7129300935,"20141105T000000",415000,3,1.75,2380,5650,1,0,2,4,8,1190,1190,1956,0,98118,47.5119,-122.255,2350,6554
"1640",8952900204,"20141029T000000",810000,5,3.5,3550,9600,2,0,0,3,9,2550,1000,1998,0,98118,47.5484,-122.269,2030,9600
"1668",5649600435,"20150108T000000",349950,5,2,1880,4179,1,0,0,3,7,940,940,1952,2000,98118,47.5536,-122.283,1350,5150
"1679",2658000335,"20141027T000000",275000,3,1.25,1230,4500,1.5,0,0,4,7,1230,0,1913,0,98118,47.5301,-122.271,1310,5000
"1680",1702901557,"20140911T000000",445000,5,3,2930,5500,1,0,0,3,7,1750,1180,1951,0,98118,47.5572,-122.281,1400,5500
"1761",8113600004,"20140520T000000",599950,3,2.5,2660,4975,2,0,0,3,8,2660,0,2014,0,98118,47.5487,-122.272,1840,6653
"1803",1705400055,"20140719T000000",519000,4,1,1640,6305,1.5,0,0,5,6,1640,0,1907,0,98118,47.5563,-122.28,1590,4816
"1854",7135300046,"20140716T000000",210000,2,1,1450,4750,1,0,0,3,7,850,600,1950,0,98118,47.5293,-122.272,1190,5000
"1933",9188200570,"20140902T000000",333800,5,3,1980,3868,1,0,0,3,7,1220,760,1990,0,98118,47.5173,-122.275,1970,3868
"1966",8952900260,"20140919T000000",375000,3,1,1130,12500,1.5,0,0,3,7,1130,0,1954,0,98118,47.5491,-122.268,2280,8750
"2009",1112000125,"20140930T000000",463500,1,1,1090,8750,1,0,0,4,6,1090,0,1924,0,98118,47.54,-122.269,1830,5000
"2134",5249804510,"20140716T000000",655000,3,2,1410,4800,1.5,0,0,4,8,1410,0,1927,0,98118,47.5597,-122.267,1820,7200
"2239",1704900135,"20141111T000000",315000,2,1,840,5087,1,0,0,3,7,840,0,1925,0,98118,47.5557,-122.278,1590,5087
"2307",3145600045,"20150225T000000",302000,6,2,2650,4621,1.5,0,0,3,8,2650,0,1911,0,98118,47.5543,-122.275,1640,4879
"2326",3634100030,"20150109T000000",270000,4,2,1830,5220,1.5,0,0,3,7,1830,0,1951,0,98118,47.5331,-122.278,1760,5757
"2367",1702901180,"20140611T000000",665000,6,3,4250,4400,2.5,0,0,4,7,3020,1230,1902,0,98118,47.5584,-122.283,1520,4950
"2371",4154300465,"20140916T000000",719000,5,2,3110,6131,1,0,0,5,7,1560,1550,1940,0,98118,47.5615,-122.279,1720,6600
"2401",3336000791,"20150407T000000",325000,3,1,950,4500,1,0,0,4,6,950,0,1943,0,98118,47.5273,-122.265,1140,4500
"2416",3904100106,"20150427T000000",335000,3,1,2320,6750,1,0,0,3,7,1160,1160,1960,0,98118,47.5327,-122.276,1230,6075
"2452",7896300070,"20150501T000000",265000,4,1,1290,6034,1,0,0,3,6,1050,240,1950,0,98118,47.5223,-122.286,1060,6034
"2482",7186800105,"20150112T000000",236500,4,1,2140,4217,1.5,0,0,3,6,1320,820,1925,0,98118,47.5484,-122.287,1720,5413
"2506",1005000036,"20140613T000000",285000,3,1.75,1840,8601,1,0,0,3,7,920,920,1905,2014,98118,47.5359,-122.276,1390,7452
"2519",9412900045,"20140519T000000",462000,3,1.5,1710,4500,1.5,0,0,3,8,1410,300,1928,0,98118,47.5366,-122.268,1860,6000
"2603",8113101232,"20141202T000000",343000,2,1,1180,9261,1,0,0,4,7,940,240,1957,0,98118,47.5492,-122.274,1700,6325
"2705",5583200810,"20150402T000000",662700,2,1.5,2440,6900,2,0,0,3,7,1590,850,1910,0,98118,47.5568,-122.271,1770,6900
"2919",3812400657,"20141204T000000",160000,3,1,1200,8360,1,0,0,2,6,1200,0,1948,0,98118,47.5414,-122.281,1570,6823
"3006",2123700015,"20150512T000000",228800,4,2.5,1470,1612,2,0,0,3,7,980,490,2003,0,98118,47.5275,-122.271,1460,5027
"3055",7130300690,"20141028T000000",308000,2,1,1080,6250,1,0,2,4,7,1080,0,1942,1968,98118,47.5128,-122.251,2100,6875
